node_id,osm_node_id,x_coord,y_coord,longitude,latitude,activity_type,is_boundary,zone_id
0,42421728,-73.9600437,40.7980478,-73.9600437,40.7980478,node,0,-1
1,42421731,-73.9614745,40.7986542,-73.9614745,40.7986542,node,0,-1
2,42421737,-73.9628734,40.7992437,-73.9628734,40.7992437,node,0,-1
3,42421741,-73.9656909,40.8004295,-73.9656909,40.8004295,node,0,-1
4,42421745,-73.9679955,40.8013981,-73.9679955,40.8013981,node,0,-1
5,42421749,-73.9685741,40.8016452,-73.9685741,40.8016452,node,0,-1
6,42421751,-73.9700504,40.8022679,-73.9700504,40.8022679,node,0,-1
7,42421769,-73.9750067,40.7826383,-73.9750067,40.7826383,node,0,-1
8,42421772,-73.9778254,40.783828,-73.9778254,40.783828,node,0,-1
9,42421775,-73.9795827,40.7845691,-73.9795827,40.7845691,node,0,-1
10,42421776,-73.9806732,40.7850352,-73.9806732,40.7850352,node,0,-1
11,42421778,-73.9820041,40.7855915,-73.9820041,40.7855915,node,0,-1
12,42421783,-73.9313239,40.8593291,-73.9313239,40.8593291,node,0,-1
13,42421785,-73.930122,40.858744,-73.930122,40.858744,node,0,-1
14,42421786,-73.927625,40.859012,-73.927625,40.859012,node,0,-1
15,42421791,-73.926786,40.859944,-73.926786,40.859944,node,0,-1
16,42421800,-73.9703125,40.7839869,-73.9703125,40.7839869,node,0,-1
17,42421803,-73.9731496,40.7851818,-73.9731496,40.7851818,node,0,-1
18,42421806,-73.9759753,40.7863627,-73.9759753,40.7863627,node,0,-1
19,42421809,-73.9776916,40.7870876,-73.9776916,40.7870876,node,0,-1
20,42421810,-73.9788225,40.7875711,-73.9788225,40.7875711,node,0,-1
21,42421820,-73.9810702,40.788486,-73.9810702,40.788486,node,0,-1
22,42421828,-73.9762137,40.725334,-73.9762137,40.725334,node,0,-1
23,42421852,-73.9568234,40.8126219,-73.9568234,40.8126219,node,0,-1
24,42421857,-73.9598,40.8138218,-73.9598,40.8138218,node,0,-1
25,42421865,-73.9606929,40.814184,-73.9606929,40.814184,node,0,-1
26,42421877,-73.9959296,40.7328696,-73.9959296,40.7328696,node,0,-1
27,42421889,-73.9991816,40.7341463,-73.9991816,40.7341463,node,0,-1
28,42421941,-74.0087265,40.7042693,-74.0087265,40.7042693,node,0,-1
29,42421946,-74.0083431,40.7038253,-74.0083431,40.7038253,node,0,-1
30,42421951,-74.0077746,40.7033264,-74.0077746,40.7033264,node,0,-1
31,42421960,-74.0089696,40.7041084,-74.0089696,40.7041084,node,0,-1
32,42421965,-74.0079952,40.7032048,-74.0079952,40.7032048,node,0,-1
33,42421969,-73.9810586,40.7692956,-73.9810586,40.7692956,node,0,-1
34,42421972,-73.982236,40.7697925,-73.982236,40.7697925,node,0,-1
35,42421974,-73.9838597,40.7704797,-73.9838597,40.7704797,node,0,-1
36,42421982,-73.986677,40.7716605,-73.986677,40.7716605,node,0,-1
37,42421985,-73.9895402,40.7728633,-73.9895402,40.7728633,node,0,-1
38,42421993,-73.9679404,40.787235,-73.9679404,40.787235,node,0,-1
39,42421996,-73.9707862,40.7884325,-73.9707862,40.7884325,node,0,-1
40,42422000,-73.9736025,40.7896131,-73.9736025,40.7896131,node,0,-1
41,42422006,-73.9751294,40.7902583,-73.9751294,40.7902583,node,0,-1
42,42422016,-73.9764487,40.7908218,-73.9764487,40.7908218,node,0,-1
43,42422018,-73.978619,40.7917878,-73.978619,40.7917878,node,0,-1
44,42422026,-74.0157844,40.7115841,-74.0157844,40.7115841,node,0,-1
45,42422028,-74.0143969,40.7110047,-74.0143969,40.7110047,node,0,-1
46,42422038,-74.0116583,40.7096669,-74.0116583,40.7096669,node,0,-1
47,42422042,-74.0105706,40.7091731,-74.0105706,40.7091731,node,0,-1
48,42422050,-74.0093797,40.7086249,-74.0093797,40.7086249,node,0,-1
49,42422053,-74.0082757,40.7077288,-74.0082757,40.7077288,node,0,-1
50,42422086,-73.9333873,40.8016439,-73.9333873,40.8016439,node,0,-1
51,42422110,-73.9337706,40.8021471,-73.9337706,40.8021471,node,0,-1
52,42422168,-73.9328935,40.8021545,-73.9328935,40.8021545,node,0,-1
53,42422258,-74.0074153,40.7482041,-74.0074153,40.7482041,node,0,-1
54,42422270,-74.0027542,40.7062566,-74.0027542,40.7062566,node,0,-1
55,42422283,-74.001657,40.7094916,-74.001657,40.7094916,node,0,-1
56,42422399,-73.9827592,40.7880027,-73.9827592,40.7880027,node,0,-1
57,42422449,-73.9311515,40.8007075,-73.9311515,40.8007075,node,0,-1
58,42422509,-73.9736517,40.7381466,-73.9736517,40.7381466,node,0,-1
59,42422592,-73.9826519,40.7849764,-73.9826519,40.7849764,node,0,-1
60,42422899,-73.9721236,40.7456883,-73.9721236,40.7456883,node,0,-1
61,42423020,-73.9749393,40.7460796,-73.9749393,40.7460796,node,0,-1
62,42423039,-73.9757407,40.7163982,-73.9757407,40.7163982,node,0,-1
63,42423051,-73.9748036,40.718847,-73.9748036,40.718847,node,0,-1
64,42423070,-73.9853322,40.7835314,-73.9853322,40.7835314,node,0,-1
65,42423101,-73.9337236,40.8442481,-73.9337236,40.8442481,node,0,-1
66,42423116,-73.9323269,40.8461578,-73.9323269,40.8461578,node,0,-1
67,42423170,-73.9326159,40.8026802,-73.9326159,40.8026802,node,0,-1
68,42423189,-73.9329255,40.8033683,-73.9329255,40.8033683,node,0,-1
69,42423203,-73.9334099,40.802694,-73.9334099,40.802694,node,0,-1
70,42423295,-73.9775923,40.7132542,-73.9775923,40.7132542,node,0,-1
71,42423296,-73.9777588,40.7125226,-73.9777588,40.7125226,node,0,-1
72,42423307,-73.9814926,40.71075,-73.9814926,40.71075,node,0,-1
73,42423456,-74.006113,40.7237914,-74.006113,40.7237914,node,0,-1
74,42423514,-74.0070265,40.7244991,-74.0070265,40.7244991,node,0,-1
75,42423549,-73.9747151,40.721087,-73.9747151,40.721087,node,0,-1
76,42423564,-73.9645095,40.7589831,-73.9645095,40.7589831,node,0,-1
77,42423565,-73.9640002,40.7596426,-73.9640002,40.7596426,node,0,-1
78,42423579,-73.960551,40.7595738,-73.960551,40.7595738,node,0,-1
79,42423674,-73.979076,40.766876,-73.979076,40.766876,node,0,-1
80,42423752,-73.9619964,40.7620775,-73.9619964,40.7620775,node,0,-1
81,42423774,-73.9738156,40.738339,-73.9738156,40.738339,node,0,-1
82,42423832,-73.998505,40.7587817,-73.998505,40.7587817,node,0,-1
83,42423836,-73.9969538,40.7593876,-73.9969538,40.7593876,node,0,-1
84,42423847,-73.9992001,40.7588687,-73.9992001,40.7588687,node,0,-1
85,42423885,-73.9968456,40.7577433,-73.9968456,40.7577433,node,0,-1
86,42424025,-73.9437833,40.7828748,-73.9437833,40.7828748,node,0,-1
87,42424032,-73.9856862,40.780311,-73.9856862,40.780311,node,0,-1
88,42424089,-73.9643559,40.7606212,-73.9643559,40.7606212,node,0,-1
89,42424117,-73.9318124,40.7944866,-73.9318124,40.7944866,node,0,-1
90,42424133,-73.9322765,40.793757,-73.9322765,40.793757,node,0,-1
91,42424142,-73.9484005,40.769641,-73.9484005,40.769641,node,0,-1
92,42424145,-73.9491341,40.7687032,-73.9491341,40.7687032,node,0,-1
93,42424225,-73.9735934,40.7794865,-73.9735934,40.7794865,node,0,-1
94,42424235,-73.9344659,40.8171783,-73.9344659,40.8171783,node,0,-1
95,42424258,-74.0067668,40.7217241,-74.0067668,40.7217241,node,0,-1
96,42424334,-74.0079995,40.7211998,-74.0079995,40.7211998,node,0,-1
97,42424347,-74.0078146,40.7209099,-74.0078146,40.7209099,node,0,-1
98,42424354,-74.0075453,40.7208183,-74.0075453,40.7208183,node,0,-1
99,42424408,-74.008287,40.7219884,-74.008287,40.7219884,node,0,-1
100,42424439,-73.964694,40.7916758,-73.964694,40.7916758,node,0,-1
101,42424531,-73.9352393,40.8295918,-73.9352393,40.8295918,node,0,-1
102,42424551,-73.9355839,40.8305218,-73.9355839,40.8305218,node,0,-1
103,42424576,-73.9363638,40.8304127,-73.9363638,40.8304127,node,0,-1
104,42424610,-74.0084726,40.7206149,-74.0084726,40.7206149,node,0,-1
105,42424630,-74.0070994,40.7244054,-74.0070994,40.7244054,node,0,-1
106,42424641,-73.9768477,40.7146195,-73.9768477,40.7146195,node,0,-1
107,42424672,-73.9592658,40.7593001,-73.9592658,40.7593001,node,0,-1
108,42424679,-73.9594899,40.8202619,-73.9594899,40.8202619,node,0,-1
109,42424698,-73.9570228,40.8232976,-73.9570228,40.8232976,node,0,-1
110,42424701,-73.9601312,40.8197265,-73.9601312,40.8197265,node,0,-1
111,42424703,-73.9610583,40.8186803,-73.9610583,40.8186803,node,0,-1
112,42424706,-73.9618103,40.8180007,-73.9618103,40.8180007,node,0,-1
113,42424757,-73.9355669,40.8069238,-73.9355669,40.8069238,node,0,-1
114,42424758,-73.9349387,40.80669,-73.9349387,40.80669,node,0,-1
115,42424789,-73.9948115,40.7576654,-73.9948115,40.7576654,node,0,-1
116,42424851,-73.9698495,40.784623,-73.9698495,40.784623,node,0,-1
117,42424864,-74.005932,40.7244039,-74.005932,40.7244039,node,0,-1
118,42424937,-73.967223,40.8105617,-73.967223,40.8105617,node,0,-1
119,42425088,-73.9610181,40.8176592,-73.9610181,40.8176592,node,0,-1
120,42425100,-73.977917,40.715649,-73.977917,40.715649,node,0,-1
121,42425127,-73.9529787,40.7917204,-73.9529787,40.7917204,node,0,-1
122,42425232,-73.9641772,40.7923773,-73.9641772,40.7923773,node,0,-1
123,42425242,-73.9596517,40.8203291,-73.9596517,40.8203291,node,0,-1
124,42425348,-73.9760092,40.7954937,-73.9760092,40.7954937,node,0,-1
125,42425417,-73.9348645,40.8282864,-73.9348645,40.8282864,node,0,-1
126,42425425,-73.9344443,40.8158343,-73.9344443,40.8158343,node,0,-1
